model,n_neighbors,weights,metric,accuracy,precision,recall,f1
knn,3,uniform,euclidean,0.6698924731182796,0.41379310344827586,0.3088235294117647,0.35368421052631577
knn,3,uniform,manhattan,0.6591397849462366,0.38341968911917096,0.27205882352941174,0.31827956989247314
knn,3,distance,euclidean,0.667741935483871,0.4088669950738916,0.30514705882352944,0.3494736842105263
knn,3,distance,manhattan,0.6580645161290323,0.385,0.28308823529411764,0.326271186440678
knn,5,uniform,euclidean,0.6881720430107527,0.4444444444444444,0.2647058823529412,0.3317972350230415
knn,5,uniform,manhattan,0.6849462365591398,0.43478260869565216,0.25735294117647056,0.3233256351039261
knn,5,distance,euclidean,0.6849462365591398,0.437125748502994,0.26838235294117646,0.3325740318906606
knn,5,distance,manhattan,0.6827956989247311,0.4303030303030303,0.2610294117647059,0.32494279176201374
knn,7,uniform,euclidean,0.6956989247311828,0.46206896551724136,0.24632352941176472,0.3213429256594724
knn,7,uniform,manhattan,0.6989247311827957,0.46875,0.22058823529411764,0.3
knn,7,distance,euclidean,0.6967741935483871,0.46621621621621623,0.2536764705882353,0.32857142857142857
knn,7,distance,manhattan,0.6946236559139785,0.45652173913043476,0.23161764705882354,0.3073170731707317
knn,9,uniform,euclidean,0.6849462365591398,0.416,0.19117647058823528,0.2619647355163728
knn,9,uniform,manhattan,0.6967741935483871,0.4609375,0.21691176470588236,0.295
knn,9,distance,euclidean,0.6860215053763441,0.42063492063492064,0.1948529411764706,0.2663316582914573
knn,9,distance,manhattan,0.6956989247311828,0.45985401459854014,0.23161764705882354,0.3080684596577017
