model,max_depth,accuracy,precision,recall,f1,n_estimators,n_neighbors,weights,metric
decision_tree,3.0,0.5698924731182796,0.3778625954198473,0.7279411764705882,0.4974874371859296,,,,
decision_tree,5.0,0.621505376344086,0.4024390243902439,0.6066176470588235,0.4838709677419355,,,,
random_forest,10.0,0.7021505376344086,0.4900398406374502,0.4522058823529412,0.4703632887189292,200.0,,,
random_forest,10.0,0.7010752688172043,0.488,0.4485294117647059,0.4674329501915709,100.0,,,
decision_tree,10.0,0.6021505376344086,0.3682795698924731,0.5036764705882353,0.4254658385093168,,,,
decision_tree,,0.624731182795699,0.358974358974359,0.3602941176470588,0.3596330275229358,,,,
knn,,0.6698924731182796,0.4137931034482758,0.3088235294117647,0.3536842105263157,,3.0,uniform,euclidean
knn,,0.667741935483871,0.4088669950738916,0.3051470588235294,0.3494736842105263,,3.0,distance,euclidean
knn,,0.6849462365591398,0.437125748502994,0.2683823529411764,0.3325740318906606,,5.0,distance,euclidean
knn,,0.6881720430107527,0.4444444444444444,0.2647058823529412,0.3317972350230415,,5.0,uniform,euclidean
knn,,0.6967741935483871,0.4662162162162162,0.2536764705882353,0.3285714285714285,,7.0,distance,euclidean
knn,,0.6580645161290323,0.385,0.2830882352941176,0.326271186440678,,3.0,distance,manhattan
knn,,0.6827956989247311,0.4303030303030303,0.2610294117647059,0.3249427917620137,,5.0,distance,manhattan
knn,,0.6849462365591398,0.4347826086956521,0.2573529411764705,0.3233256351039261,,5.0,uniform,manhattan
knn,,0.6956989247311828,0.4620689655172413,0.2463235294117647,0.3213429256594724,,7.0,uniform,euclidean
knn,,0.6591397849462366,0.3834196891191709,0.2720588235294117,0.3182795698924731,,3.0,uniform,manhattan
knn,,0.6956989247311828,0.4598540145985401,0.2316176470588235,0.3080684596577017,,9.0,distance,manhattan
knn,,0.6946236559139785,0.4565217391304347,0.2316176470588235,0.3073170731707317,,7.0,distance,manhattan
random_forest,,0.7236559139784946,0.5773195876288659,0.2058823529411764,0.3035230352303523,200.0,,,
random_forest,,0.7215053763440861,0.5656565656565656,0.2058823529411764,0.3018867924528302,100.0,,,
knn,,0.6989247311827957,0.46875,0.2205882352941176,0.3,,7.0,uniform,manhattan
random_forest,20.0,0.7150537634408602,0.5333333333333333,0.2058823529411764,0.2970822281167108,100.0,,,
knn,,0.6967741935483871,0.4609375,0.2169117647058823,0.295,,9.0,uniform,manhattan
random_forest,20.0,0.7172043010752688,0.5445544554455446,0.2022058823529411,0.2949061662198391,200.0,,,
knn,,0.6860215053763441,0.4206349206349206,0.1948529411764706,0.2663316582914573,,9.0,distance,euclidean
knn,,0.6849462365591398,0.416,0.1911764705882352,0.2619647355163728,,9.0,uniform,euclidean
